Hospital,Area
"Hospital Pakar Sultanah Fatimah, Muar",Johor
"Hospital Sultanah Nora Ismail, Batu Pahat",Johor
"Hospital Enche Besar Hajjah Kalsom, Kluang",Johor
Hospital Segamat,Johor
Hospital Pontian,Johor
Hospital Kota Tinggi,Johor
Hospital Mersing,Johor
Hospital Tangkak,Johor
"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",Johor
Sultan Ismail Hospital,Johor
"Hospital Sultanah Aminah, Johor Bahru[2]",Johor
"Sultanah Bahiyah Hospital, Alor Setar",Kedah
"Sultan Abdul Halim Hospital, Sungai Petani",Kedah
Pendang Hospital,Kedah
Kulim Hospital,Kedah
Baling Hospital,Kedah
Sik Hospital,Kedah
Hospital Yan,Kedah
Hospital Jitra,Kedah
Hospital Kuala Nerang,Kedah
"Hospital Raja Perempuan Zainab II, Kota Bharu",Kelantan
Hospital Pasir Mas,Kelantan
Hospital Tumpat,Kelantan
Hospital Machang,Kelantan
Hospital Jeli,Kelantan
Hospital Tanah Merah,Kelantan
"Hospital Tengku Anis, Pasir Putih",Kelantan
Hospital Gua Musang,Kelantan
Hospital Kuala Krai,Kelantan
Hospital Universiti Sains Malaysia (HUSM),Kelantan
Kuala Lumpur Hospital,Kuala Lumpur
National Heart Institute of Malaysia (IJN),Kuala Lumpur
Hospital Canselor Tuanku Muhriz UKM (HCTM),Kuala Lumpur
University Malaya Medical Centre (UMMC),Kuala Lumpur
Hospital Angkatan Tentera Tuanku Mizan,Kuala Lumpur
Hospital Rehabilitasi Cheras,Kuala Lumpur
Hospital Nukleus Labuan,Labuan
Jabatan Kesihatan Labuan,Labuan
Malacca General Hospital,Malacca
Hospital Alor Gajah,Malacca
Hospital Jasin,Malacca
Hospital Angkatan Tentera Terendak,Malacca
Tuanku Ja'afar Hospital,Negeri Sembilan
"Hospital Tuanku Ampuan Najihah, Kuala Pilah",Negeri Sembilan
Hospital Port Dickson,Negeri Sembilan
Hospital Tampin,Negeri Sembilan
Hospital Jelebu,Negeri Sembilan
Hospital Jempol,Negeri Sembilan
Hospital Rembau,Negeri Sembilan
Tengku Ampuan Afzan Hospital,Pahang
Hospital Pekan,Pahang
Hospital Kuala Lipis,Pahang
Hospital Raub,Pahang
Hospital Bentong,Pahang
Hospital Jerantut,Pahang
Hospital Jengka,Pahang
Hospital Muadzam Shah,Pahang
"Hospital Sultan Haji Ahmad Shah, Temerloh",Pahang
Hospital Cameron Highlands,Pahang
Hospital Rompin,Pahang
Hospital Universiti Islam Antabangsa (UIA) Kuantan,Pahang
Hospital Bera,Pahang
Penang General Hospital,Penang
Hospital Sungai Bakap,Penang
Hospital Bukit Mertajam,Penang
Hospital Balik Pulau,Penang
Hospital Seberang Jaya,Penang
Hospital Kepala Batas,Penang
Hospital Batu Gajah,Perak
"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",Perak
Hospital Changkat Melintang,Perak
Hospital Grik,Perak
Hospital Kampar,Perak
Hospital Kuala Kangsar,Perak
Hospital Parit Buntar,Perak
"Hospital Raja Permaisuri Bainun, Ipoh",Perak
Hospital Selama,Perak
Hospital Seri Manjung,Perak
Hospital Sg. Siput,Perak
Hospital Slim River,Perak
Hospital Tapah,Perak
Hospital Taiping,Perak
Hospital Teluk Intan,Perak
"Hospital Tuanku Fauziah, Kangar",Perlis
Putrajaya Hospital,Putrajaya
National Cancer Institute,Putrajaya
"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",Sabah
"Duchess of Kent Hospital, Sandakan",Sabah
Hospital Beaufort,Sabah
Hospital Beluran,Sabah
Hospital Keningau,Sabah
Hospital Kinabatangan,Sabah
Hospital Kota Belud,Sabah
Hospital Kota Marudu,Sabah
Hospital Kuala Penyu,Sabah
Hospital Kudat,Sabah
Hospital Lahad Datu,Sabah
Hospital Mesra Bukit Padang,Sabah
Hospital Papar,Sabah
Hospital Ranau,Sabah
Hospital Semporna,Sabah
Hospital Sipitang,Sabah
Hospital Tambunan,Sabah
Hospital Tawau,Sabah
Hospital Tenom,Sabah
Hospital Wanita dan Kanak-Kanak Sabah[5],Sabah
Sarawak General Hospital,Sarawak
"Sarawak General Hospital, Kota Samarahan (Cardiac services)",Sarawak
Hospital Bau,Sarawak
Hospital Sibu,Sarawak
Hospital Miri,Sarawak
Hospital Sarikei,Sarawak
Hospital Sri Aman,Sarawak
Hospital Limbang,Sarawak
Hospital Lawas,Sarawak
Hospital Kapit,Sarawak
Hospital Sentosa,Sarawak
Hospital Mukah,Sarawak
Hospital Marudi,Sarawak
Hospital Lundu,Sarawak
Hospital Bintulu,Sarawak
Hospital Betong,Sarawak
Hospital Serian,Sarawak
Hospital Simunjan,Sarawak
Rajah Charles Brooke Memorial Hospital,Sarawak
Hospital Kanowit,Sarawak
Hospital Saratok,Sarawak
Hospital Dalat,Sarawak
Hospital Shah Alam,Selangor
Hospital Ampang,Selangor
Hospital Banting,Selangor
Hospital Kajang,Selangor
Hospital Kuala Kubu Baru,Selangor
Hospital Selayang,Selangor
Hospital Sultan Idris Shah Serdang,Selangor
Hospital Sungai Buloh,Selangor
Hospital Tanjung Karang,Selangor
"Hospital Tengku Ampuan Jemaah, Sabak Bernam",Selangor
"Hospital Tengku Ampuan Rahimah, Klang",Selangor
Universiti Putra Malaysia Teaching Hospital,Selangor
"Universiti Teknologi MARA Teaching Hospital, Puncak Alam",Selangor
"Hospital Sultanah Nur Zahirah, Kuala Terengganu",Terengganu
Hospital Dungun,Terengganu
Hospital Kemaman,Terengganu
Hospital Besut,Terengganu
Hospital Hulu Terengganu,Terengganu
Hospital Setiu,Terengganu
